Date,Actual Price,Predictions,Volume,SMA20,SMA50,Volatility,Signal,Position,Volume Adjusted Return,Volume Multiplier,Position Size,Adjusted Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2023-01-17,21161.51953125,21162.938378142557,0.3975692720558736,18001.45771484375,17385.763046875,0.019259814621853395,1,0.0,-0.0,2.2,0.5,-0.0,1.1098135553445703,1.005495860458497,-0.0
2023-01-18,20688.78125,20695.537163596655,0.6578242327985074,18203.7796875,17470.6390234375,0.02074233970217601,1,1.0,-0.04914695361144364,2.2,0.5,-0.02457347680572182,1.0850208483800834,0.9807873312532707,-0.022339524368838015
2023-01-19,21086.79296875,21080.99344310948,0.1975477796117156,18427.9900390625,17549.0035546875,0.02056284030836862,0,1.0,0.03847609135990071,2.0,0.5,0.019238045679950355,1.105894529024918,0.9996557627342377,0.019238045679950355
2023-01-20,22676.552734375,22655.410556198865,0.5950969972122147,18734.44287109375,17663.191953125,0.02457304733407333,0,0.0,0.0,2.2,0.5,0.0,1.189269304405607,0.9996557627342377,0.0
2023-01-21,22777.625,22777.08166795147,0.7845114842293407,19042.0701171875,17776.97125,0.024578786366905334,0,0.0,0.0,2.2,0.5,0.0,1.1945700282167855,0.9996557627342377,0.0
2023-01-22,22720.416015625,22724.881636867,0.3843841679484008,19343.6673828125,17893.21484375,0.024785629730779867,1,0.0,-0.0,2.2,0.5,-0.0,1.1915697093477595,0.9996557627342377,-0.0
2023-01-23,22934.431640625,22939.37140261739,0.4765309053150167,19656.39609375,18009.29375,0.024539107482866297,1,1.0,0.02072296452125695,2.2,0.5,0.010361482260628475,1.2027937351711313,1.0100136781865434,0.009419529327844067
2023-01-24,22636.46875,22650.523904071197,0.4706229761659594,19945.0576171875,18122.5266015625,0.02538499588011441,1,1.0,-0.028582280548598685,2.2,0.5,-0.014291140274299343,1.1871671042707868,0.9955794310326185,-0.012991945703908492
2023-01-25,23117.859375,23116.81760685701,0.6931655618478557,20259.11376953125,18243.0937109375,0.02510642454988129,0,1.0,0.04678553826996557,2.2,0.5,0.023392769134982786,1.2124135824479254,1.018868790818302,0.021266153759075257
2023-01-26,23032.77734375,23042.964222836912,0.4681673582974503,20563.15419921875,18366.78671875,0.02542267108348108,1,0.0,-0.0,2.2,0.5,-0.0,1.2079514647130407,1.018868790818302,-0.0
2023-01-27,23078.728515625,23088.731686833307,0.4175006477326773,20869.33671875,18483.691796875,0.025367482469301633,1,1.0,0.004389074605127119,2.2,0.5,0.0021945373025635596,1.2103613688484944,1.0211047363861707,0.0019950339114214177
2023-01-28,23031.08984375,23039.34596514124,-0.1372786177465729,21166.333984375,18601.650546875,0.025629897009183857,0,1.0,-0.0041283619106440295,2.0,0.5,-0.0020641809553220147,1.2078629639618599,1.0189969914359334,-0.0020641809553220147
2023-01-29,23774.56640625,23770.633410416456,0.523583268963507,21495.2345703125,18734.5673828125,0.025803196394033973,0,0.0,0.0,2.2,0.5,0.0,1.2468545101939252,1.0189969914359334,0.0
2023-01-30,22840.138671875,22856.30907381553,0.5122441752279762,21764.92685546875,18849.2862890625,0.028681624025119288,1,0.0,-0.0,2.2,0.25,-0.0,1.1978485508360515,1.0189969914359334,-0.0
2023-01-31,23139.283203125,23139.61936390165,0.2851538257470942,22025.14619140625,18967.943203125,0.028489996128711115,1,1.0,0.026194633539450507,2.0,0.5,0.013097316769725253,1.2135371527485075,1.0323431178201667,0.013097316769725253
2023-02-01,23723.76953125,23719.697648580728,0.4850865016808476,22267.8552734375,19086.7922265625,0.027161058182704652,0,1.0,0.05557086235503364,2.2,0.5,0.02778543117751682,1.2441904736931015,1.061027216471942,0.025259482888651652
2023-02-02,23471.87109375,23479.84088973541,0.7649966051215797,22445.9701171875,19199.916640625,0.025582047048135104,1,0.0,-0.0,2.2,0.5,-0.0,1.2309796879508594,1.061027216471942,-0.0
2023-02-03,23449.322265625,23449.990908826596,0.5058735786629174,22569.6212890625,19321.60578125,0.023340239439627965,1,1.0,-0.0021134839091804247,2.2,0.5,-0.0010567419545902124,1.2297971171494904,1.0599059844973342,-0.0009606745041729203
2023-02-04,23331.84765625,23339.302576257774,-0.0891144808253747,22692.17373046875,19455.293046875,0.023351171350518358,1,1.0,-0.010019446024434497,2.0,0.5,-0.005009723012217249,1.2236361742313482,1.0545961490960112,-0.005009723012217249
2023-02-05,22955.666015625,22964.528511670476,0.1149535203911576,22781.475390625,19578.50453125,0.023767097987735502,1,1.0,-0.03224619380062088,2.0,0.5,-0.01612309690031044,1.203907369623491,1.0375927931934419,-0.01612309690031044
2023-02-06,22760.109375,22762.9675692542,0.3364794972094948,22861.4048828125,19698.5471875,0.023920973679258217,1,1.0,-0.018741543333230394,2.2,0.5,-0.009370771666615197,1.1936514231975845,1.0278697480455008,-0.008518883333286542
2023-02-07,23264.291015625,23257.944071997485,0.5113274935303537,22990.18037109375,19835.0394140625,0.023414381596151244,0,1.0,0.048734370784411236,2.2,0.5,0.024367185392205618,1.2200931736727896,1.0529160407551652,0.022151986720186922
